ht,hat,Haitian, Haitian Creole,Kreyòl ayisyen ,,
hu,hun,Hungarian,magyar ,,,
hy,arm,Armenian,Հայերեն ,,,
hz,her,Herero,Otjiherero ,,,
ia,ina,Interlingua,Interlingua ,,,
id,ind,Indonesian,Bahasa Indonesia ,,,
ie,ile,Interlingue,Originally called Occidental, then Interlingue after WWII ,,
ig,ibo,Igbo,Asụsụ Igbo ,,,
ii,iii,Nuosu,ꆈꌠ꒿ Nuosuhxop ,,,
ik,ipk,Inupiaq,"Iñupiaq, Iñupiatun ",,,
io,ido,Ido,Ido ,,,
is,ice,Icelandic,Íslenska ,,,
it,ita,Italian,italiano ,,,
iu,iku,Inuktitut,ᐃᓄᒃᑎᑐᑦ ,,,
ja,jpn,Japanese,日本語 (にほんご) ,,,
jv,jav,Javanese,basa Jawa ,,,
ka,geo,Georgian,ქართული ,,,
kg,kon,Kongo,KiKongo ,,,
ki,kik,"Kikuyu, Gikuyu ",Gĩkũyũ ,,,
kj,kua,"Kwanyama, Kuanyama ",Kuanyama ,,,
kk,kaz,Kazakh,қазақ тілі ,,,
kl,kal,"Kalaallisut, Greenlandic ","kalaallisut, kalaallit oqaasii ",,,
km,khm,Khmer,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ ",,,
kn,kan,Kannada,ಕನ್ನಡ ,,,
ko,kor,Korean,"한국어 (韓國語), 조선어 (朝鮮語) ",,,
kr,kau,Kanuri,Kanuri ,,,
ks,kas,Kashmiri,"कश्मीरी, كشميري‎ ",,,
ku,kur,Kurdish,"Kurdî, كوردی‎ ",,,
kv,kom,Komi,коми кыв ,,,
kw,cor,Cornish,Kernewek ,,,
ky,kir,Kyrgyz,"Кыргызча, Кыргыз тили ",,,
la,lat,Latin,"latine, lingua latina ",,,
lb,ltz,"Luxembourgish, Letzeburgesch ",Lëtzebuergesch ,,,
lg,lug,Ganda,Luganda ,,,
li,lim,"Limburgish, Limburgan, Limburger ",Limburgs ,,,
ln,lin,Lingala,Lingála ,,,
lo,lao,Lao,ພາສາລາວ ,,,
lt,lit,Lithuanian,lietuvių kalba ,,,
lu,lub,Luba-Katanga,Tshiluba ,,,
lv,lav,Latvian,latviešu valoda ,,,
mg,mlg,Malagasy,fiteny malagasy ,,,
mh,mah,Marshallese,Kajin M̧ajeļ ,,,
mi,mao,Māori,te reo Māori ,,,
mk,mac,Macedonian,македонски јазик ,,,
ml,mal,Malayalam,മലയാളം ,,,
mn,mon,Mongolian,монгол ,,,
mr,mar,Marathi (Marāṭhī),मराठी ,,,
ms,may,Malay,"bahasa Melayu, بهاس ملايو‎ ",,,
mt,mlt,Maltese,Malti ,,,
my,bur,Burmese,ဗမာစာ ,,,
na,nau,Nauru,Ekakairũ Naoero ,,,
nb,nob,Norwegian Bokmål,Norsk bokmål ,,,
nd,nde,North Ndebele,isiNdebele ,,,
ne,nep,Nepali,नेपाली ,,,
ng,ndo,Ndonga,Owambo ,,,
nl,dut,Dutch,"Nederlands, Vlaams ",,,
nn,nno,Norwegian Nynorsk,Norsk nynorsk ,,,
no,nor,Norwegian,Norsk ,,,
nr,nbl,South Ndebele,isiNdebele ,,,
nv,nav,"Navajo, Navaho ","Diné bizaad, Dinékʼehǰí ",,,
ny,nya,Chichewa, Chewa, Nyanja,"chiCheŵa, chinyanja ",
oc,oci,Occitan,"occitan, lenga d'òc ",,,
oj,oji,"Ojibwe, Ojibwa ",ᐊᓂᔑᓈᐯᒧᐎᓐ ,,,
om,orm,Oromo,Afaan Oromoo ,,,
or,ori,Oriya,ଓଡ଼ିଆ ,,,
os,oss,"Ossetian, Ossetic ",ирон æвзаг ,,,
pa,pan,"Panjabi, Punjabi ","ਪੰਜਾਬੀ, پنجابی‎ ",,,
pi,pli,Pāli,पाऴि ,,,
pl,pol,Polish,"język polski, polszczyzna ",,,
ps,pus,"Pashto, Pushto ",پښتو ,,,
pt,por,Portuguese,português ,,,
qu,que,Quechua,"Runa Simi, Kichwa ",,,
rm,roh,Romansh,rumantsch grischun ,,,
rn,run,Kirundi,Ikirundi ,,,
ro,rum,Romanian,limba română ,,,
ru,rus,Russian,русский язык ,,,
rw,kin,Kinyarwanda,Ikinyarwanda ,,,
sa,san,Sanskrit (Saṁskṛta),संस्कृतम् ,,,
sc,srd,Sardinian,sardu ,,,
sd,snd,Sindhi,"सिन्धी, سنڌي، سندھی‎ ",,,
se,sme,Northern Sami,Davvisámegiella ,,,
sg,sag,Sango,yângâ tî sängö ,,,
si,sin,"Sinhala, Sinhalese ",සිංහල ,,,
sk,slo,Slovak,"slovenčina, slovenský jazyk ",,,
sl,slv,Slovene,"slovenski jezik, slovenščina ",,,
sm,smo,Samoan,gagana fa'a Samoa ,,,
sn,sna,Shona,chiShona ,,,
so,som,Somali,"Soomaaliga, af Soomaali ",,,
sq,alb,Albanian,gjuha shqipe ,,,
sr,srp,Serbian,српски језик ,,,
ss,ssw,Swati,SiSwati ,,,
st,sot,Southern Sotho,Sesotho ,,,
su,sun,Sundanese,Basa Sunda ,,,
sv,swe,Swedish,Svenska ,,,
sw,swa,Swahili,Kiswahili ,,,
ta,tam,Tamil,தமிழ் ,,,
te,tel,Telugu,తెలుగు ,,,
tg,tgk,Tajik,"тоҷикӣ, toğikī, تاجیکی‎ ",,,
th,tha,Thai,ไทย ,,,
ti,tir,Tigrinya,ትግርኛ ,,,
tk,tuk,Turkmen,"Türkmen, Түркмен ",,,
tl,tgl,Tagalog,"Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔ ",,,
tn,tsn,Tswana,Setswana ,,,
to,ton,Tonga (Tonga Islands),faka Tonga ,,,
tr,tur,Turkish,Türkçe ,,,
ts,tso,Tsonga,Xitsonga ,,,
tt,tat,Tatar,"татар теле, tatar tele ",,,
tw,twi,Twi,Twi ,,,
ty,tah,Tahitian,Reo Tahiti ,,,
ug,uig,"Uyghur, Uighur ","Uyƣurqə, ئۇيغۇرچە‎ ",,,
uk,ukr,Ukrainian,українська мова ,,,
ur,urd,Urdu,اردو ,,,
uz,uzb,Uzbek,"O‘zbek, Ўзбек, أۇزبېك‎ ",,,
ve,ven,Venda,Tshivenḓa ,,,
vi,vie,Vietnamese,Tiếng Việt ,,,
vo,vol,Volapük,Volapük ,,,
wa,wln,Walloon,walon ,,,
wo,wol,Wolof,Wollof ,,,
xh,xho,Xhosa,isiXhosa ,,,
yi,yid,Yiddish,ייִדיש ,,,
yo,yor,Yoruba,Yorùbá ,,,
za,zha,"Zhuang, Chuang ","Saɯ cueŋƅ, Saw cuengh ",,,
zh,chi,Chinese,"中文 (Zhōngwén), 汉语, 漢語 ",,,
zu,zul,Zulu,isiZulu ,,,
